asian/pacific islander,black,hispanic,white,county,type
0.0,0.0,0.020202020202020204,0.0,Caldwell County,cite_rate_unsafe speed
0.030303030303030304,0.022598870056497175,0.007246376811594203,0.013671875,Walker County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Falls County,cite_rate_unsafe speed
0.0,0.0,0.03636363636363636,0.0,Kendall County,cite_rate_unsafe speed
,,0.058823529411764705,0.05555555555555555,Presidio County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Angelina County,cite_rate_unsafe speed
0.0,0.0,0.0,0.08695652173913043,Hutchinson County,cite_rate_unsafe speed
0.0,0.018018018018018018,0.0,0.002188183807439825,Navarro County,cite_rate_unsafe speed
,0.0,0.008849557522123894,0.031496062992125984,Bee County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Robertson County,cite_rate_unsafe speed
,0.0,0.11764705882352941,0.1509433962264151,Val Verde County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Howard County,cite_rate_unsafe speed
0.0,0.0,0.0,0.008547008547008548,Brown County,cite_rate_unsafe speed
,0.0,0.5625,0.75,Jim Hogg County,cite_rate_unsafe speed
0.05970149253731343,0.018018018018018018,0.07547169811320754,0.018421052631578946,Fort Bend County,cite_rate_unsafe speed
0.0,0.0,0.0,0.00819672131147541,Comanche County,cite_rate_unsafe speed
,0.0,0.0,0.0,Reagan County,cite_rate_unsafe speed
,,0.015625,0.058823529411764705,Duval County,cite_rate_unsafe speed
0.0,0.0,0.008064516129032258,0.056338028169014086,Reeves County,cite_rate_unsafe speed
0.0,0.0,0.037037037037037035,0.011235955056179775,Callahan County,cite_rate_unsafe speed
0.0,0.0,0.0,0.09090909090909091,Bailey County,cite_rate_unsafe speed
,0.0,0.0,0.020202020202020204,Marion County,cite_rate_unsafe speed
0.0,0.4,0.029850746268656716,0.03773584905660377,Ward County,cite_rate_unsafe speed
0.08695652173913043,0.0759493670886076,0.0915032679738562,0.03508771929824561,Colorado County,cite_rate_unsafe speed
0.0,0.0,0.05263157894736842,0.024640657084188913,Hardin County,cite_rate_unsafe speed
,0.3333333333333333,0.4,0.5555555555555556,Kinney County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Jones County,cite_rate_unsafe speed
,,0.0,1.0,Schleicher County,cite_rate_unsafe speed
,0.25,0.05263157894736842,0.025,Fisher County,cite_rate_unsafe speed
,0.0,0.0,0.0,Baylor County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0,Deaf Smith County,cite_rate_unsafe speed
,0.0,0.0,0.0,Somervell County,cite_rate_unsafe speed
0.0,0.0,0.0,0.045454545454545456,Goliad County,cite_rate_unsafe speed
0.0,0.0,0.02127659574468085,0.010309278350515464,Scurry County,cite_rate_unsafe speed
0.0,0.0,0.0,0.0038314176245210726,Grimes County,cite_rate_unsafe speed
,0.0,0.0,0.02631578947368421,Hemphill County,cite_rate_unsafe speed
0.0,0.0,0.0,0.05084745762711865,Hartley County,cite_rate_unsafe speed
0.0,0.043478260869565216,0.011904761904761904,0.018272425249169437,Liberty County,cite_rate_unsafe speed
