geoid,County Name,State,metro code,Metropolitan Status,Total Population,"Total population, MOE",Disabiltiy Population,"Disability Population, MOE",Disabitiy Rate,"Disability Rate, MOE",Male Disabiltiy Rate,Female Disability Rate,Vision Disabiltiy Rate,Hearing Disabiltiy Rate,Cognative Disabitliy Rate,Mobility Disabiltiy Rate,Self Care Disabiltiy Rate,Independent Living,Disability Employment Rate,Disability Unemployment Rates,Out of the Labor Force Disability Rate,Veteran Disability Rate ,Disability Poverty Rate ,Disability Rate-Black/African America,Disability Rate-White,Disability Rate-Asian,Disability Rate-American Indian/Alaskan Native,Disability Rate-Native Hawaiian Pacific Islander,Disability Rate-Other race,Disability Rate-Two or more races,Disability Rate- Hispanic (of any race),,,,
0500000US06109,Tuolumne,California,,Micropolitan,50891,299,9688,777,19,1.5,21.1,17,2.9,6.7,7.4,9.6,3.2,7.5,27.6,2.8,69.5,36.6,20.1,8.6,19.1,8.6,25.8,0,16.3,21.5,17.3,,,,
0500000US06111,Ventura,California,,Metropolitan,841387,566,91661,1803,10.9,0.2,10.8,11,2,3.3,4.5,6.1,2.7,5.6,38.7,6.3,55,28.3,14,13.4,11.3,8.3,13.2,8,8.3,9.2,9,,,,
0500000US06113,Yolo,California,,Metropolitan,211123,255,20922,903,9.9,0.4,9.8,10,1.8,3.3,3.9,4.8,1.8,4.3,37.4,5.6,57.1,27.7,20.8,11.5,11.4,4.5,22.6,10.2,6.9,7.8,8.1,,,,
0500000US06115,Yuba,California,,Metropolitan,72464,375,12038,822,16.6,1.1,18.7,14.6,2.8,4.1,8,8.9,3,7.9,28.1,6.5,65.4,23.7,27.6,18.3,16.7,9.9,23.3,3,14.4,21.9,11.8,,,,
0500000US08001,Adams,Colorado,,Metropolitan,484371,544,51764,1531,10.7,0.3,10.2,11.2,2.1,3.2,4.1,5.8,2,4.5,45.3,5.7,48.9,26.4,16.8,10.5,10.9,8.5,14.9,12.7,9.3,8.8,8.7,,,,
0500000US08003,Alamosa,Colorado,,Non core,15903,193,3067,369,19.3,2.2,21.3,17.4,4,6.4,7.4,10.2,2.6,6.5,37,4.4,58.6,45.8,33.6,15.6,19.4,17.2,14.7,100,23.5,13.1,20.9,,,,
0500000US08005,Arapahoe,Colorado,,Metropolitan,620873,860,55935,1662,9,0.3,9.1,8.9,1.7,2.7,3.5,4.5,1.7,4,45.9,6.3,47.7,21.8,15.6,8.3,9.6,6.9,15.1,5.4,6,6.9,6.1,,,,
0500000US08007,Archuleta,Colorado,,Non core,12489,93,1741,245,13.9,2,15.3,12.6,3.2,7.4,4,5.6,2,4.5,42.8,5.3,51.9,31.3,5.6,0,14.4,0,13.8,,13.4,14.6,11.6,,,,
0500000US08009,Baca,Colorado,,Non core,3479,77,762,103,21.9,2.8,24.2,19.8,7.6,9.3,9.4,12.4,4.8,8.7,46.7,3.8,49.5,44.2,22.9,21.8,22,,41.7,,0,12,14.7,,,,
0500000US08011,Bent,Colorado,,Non core,3880,315,1003,155,25.9,3.6,27.7,24.1,6.1,8.9,10.2,13.3,4.7,10,22.3,9.3,68.4,50.7,34.3,,25.2,0,50,,29.9,51.4,28.2,,,,
0500000US08013,Boulder,Colorado,,Metropolitan,314665,337,26094,1019,8.3,0.3,8.2,8.4,1.4,2.7,3.5,3.7,1.3,3.2,47.7,7.8,44.4,24.5,18.2,10.7,8.5,3.6,14.9,8.1,7.7,6.9,7,,,,
0500000US08014,Broomfield,Colorado,,Metropolitan,63952,152,5321,381,8.3,0.6,7.9,8.8,1.3,3,3.2,3.7,1,3,56.5,8.4,35.1,21.8,9.6,8.9,8.6,3.6,4.3,,6.7,10.6,8.8,,,,
0500000US08015,Chaffee,Colorado,,Non core,17649,299,3027,307,17.2,1.7,20.2,14,3.6,6.3,5.6,8.2,3.4,5.1,41.7,2.6,55.7,42,13.1,0,16.2,0,0,,27.2,55.3,17.5,,,,
0500000US08017,Cheyenne,Colorado,,Non core,2086,169,288,66,13.8,3,13.8,13.8,1.5,5.4,4.2,6.6,2.3,2.2,60,5.9,34.1,34.1,13.5,,14.6,0,,0,0,0,12.3,,,,
0500000US08019,Clear Creek,Colorado,,Metropolitan,9149,58,859,193,9.4,2.1,9.5,9.3,1.6,3.4,1.9,4,1.5,2.3,51,4.5,44.4,18,6.2,12.9,9.4,7.5,58.6,0,0,0,11.7,,,,
0500000US08021,Conejos,Colorado,,Non core,8109,15,1732,145,21.4,1.8,21.4,21.3,5.2,7.7,5.9,14.9,3.9,10.8,20.7,4.6,74.7,48.3,28.6,12.8,21.1,0,18.6,70,20.4,37.6,24.3,,,,
0500000US08023,Costilla,Colorado,,Non core,3628,12,1102,132,30.4,3.6,30.5,30.2,9,13.5,16.4,20.7,4.7,17.4,24.5,3.7,71.8,46.4,34.5,100,30,57.4,20.8,,50.7,12.4,33.8,,,,
0500000US08025,Crowley,Colorado,,Non core,4246,420,1077,213,25.4,4,25.3,25.5,6.8,8.7,10.8,13.4,4.7,12,20.2,30.8,49,57.1,31.7,,26.1,31.3,18.9,,25,15.8,18.5,,,,
0500000US08027,Custer,Colorado,,Non core,4492,16,927,173,20.6,3.9,24.7,16.7,1.7,6.7,7.1,13.3,2.2,5.1,13.3,7.8,78.8,45.9,14,0,21.9,,0,0,15.4,5.9,37.2,,,,
0500000US08029,Delta,Colorado,,Non core,29167,214,5263,447,18,1.5,18.8,17.3,3.3,7.9,5.9,10.2,3.1,7.4,39.8,3.4,56.8,39.8,18.3,1.6,18.5,0,26.9,,3.1,20.1,8.8,,,,
0500000US08031,Denver,Colorado,,Metropolitan,672437,607,64433,1628,9.6,0.2,9.2,10,2.1,2.7,3.9,5,1.9,4.3,40.7,5.1,54.2,26.2,25,12.6,9.2,8.1,17.2,23.5,9.2,9.2,8.3,,,,
0500000US08033,Dolores,Colorado,,Non core,1736,165,390,87,22.5,4.8,24.5,20,4.3,11.5,9.6,12.7,3.8,10.8,38,0,62,62.5,15.6,,23,,0,,0,13.8,8.9,,,,
0500000US08035,Douglas,Colorado,,Metropolitan,319951,279,20661,938,6.5,0.3,6.6,6.3,1,2.3,2.2,2.7,1,2.5,56.9,4.6,38.5,19,6.3,9.2,6.6,2.9,16.4,7.1,8.2,5.6,5.9,,,,
0500000US08037,Eagle,Colorado,,Micropolitan,53658,102,2471,489,4.6,0.9,4.2,5.1,1.1,1.3,1.6,2.3,1.1,1.7,45.3,6.7,48,10.8,13.3,0,4.6,1.7,36.1,44.7,2.1,12,2.6,,,,
0500000US08041,El Paso,Colorado,,Metropolitan,642935,1049,78707,2376,12.2,0.4,13,11.5,2.1,3.7,5.2,6.1,2,5.3,41.2,6.8,52,23,17.5,14.3,12.5,9,16.6,11.2,9.7,10.2,10.6,,,,
0500000US08039,Elbert,Colorado,,Metropolitan,24469,31,2429,258,9.9,1.1,11.4,8.4,1.2,3.7,3.6,4.7,1.3,4.2,51.4,1.7,46.9,25.9,10.2,19.2,10,18.4,1.1,0,7.7,6,7.7,,,,
