violation,total_stops,citations,citation_rate,white,hispanic,black,asian/pacific islander,unknown,other,stop_white,stop_hispanic,stop_black,stop_asian/pacific islander,stop_unknwon,stop_other,year,rate_white,rate_hispanic,rate_black,rate_asian/pacific islander,discrepancy
Fail to Move Over or Slow Down for Certain Vehicles,11385,1680,0.1476,923,466,153,81,55,2,6064,3191,1242,434,449,5,2009,0.1522,0.146,0.1232,0.1866,0.06339999999999998
Inoperable/Obscured Stop Lamp(s) (#),13167,34,0.0026,11,19,4,0,0,0,7478,3864,1323,236,253,13,2009,0.0015,0.0049,0.003,0.0,0.0049
Use Of Vision Reducing Matter On Windows - Glass Coating Material,12063,2324,0.1927,730,1442,123,13,15,1,2803,8529,595,41,89,6,2009,0.2604,0.1691,0.2067,0.3171,0.148
Unsafe Speed (#),6684,6552,0.9803,4400,1374,531,127,113,7,4480,1405,548,128,115,8,2009,0.9821,0.9779,0.969,0.9922,0.0232
Fail To Control Speed (#),6212,6197,0.9976,4254,1135,546,126,117,19,4262,1140,547,127,117,19,2009,0.9981,0.9956,0.9982,0.9921,0.006099999999999994
Drive in Left Lane When Not Passing or Where Prohibited,12479,88,0.0071,50,22,11,2,3,0,5592,3736,2274,212,650,15,2009,0.0089,0.0059,0.0048,0.0094,0.004600000000000001
Speeding Over Limit (#),806271,896,0.0011,440,327,67,17,44,1,511234,186287,68873,12047,26816,1014,2010,0.0009,0.0018,0.001,0.0014,0.0009
Speeding-10% or More Above Posted Speed (#),300792,292806,0.9735,161804,84323,27836,8367,10049,427,166530,86622,28419,8485,10297,439,2010,0.9716,0.9735,0.9795,0.9861,0.014499999999999957
No/Improper License Plate Lamp,77504,38,0.0005,19,11,6,2,0,0,39165,26691,8387,844,2310,107,2010,0.0005,0.0004,0.0007,0.0024,0.0019999999999999996
"Ride, Not Secured By Safety Belt-Driver (12-1-85) (#)",33105,24095,0.7278,12977,7973,2165,227,726,27,18736,9892,3201,277,965,34,2010,0.6926,0.806,0.6764,0.8195,0.1431
Operate Motor Vehicle Without License Plates (Or With One Plate),72817,891,0.0122,624,167,65,23,11,1,45316,17806,6868,1612,1127,88,2010,0.0138,0.0094,0.0095,0.0143,0.0049
No/Non-Compliant Head Lamps (#),47815,42,0.0009,23,13,4,1,0,1,27152,12665,5248,1011,1675,64,2010,0.0008,0.001,0.0008,0.001,0.00019999999999999998
Improperly Placed Or Obstructed License Plate (#),29410,100,0.0034,48,34,14,1,2,1,11195,13286,3566,382,952,29,2010,0.0043,0.0026,0.0039,0.0026,0.0017000000000000001
Display Expired License Plates/Registration (#),22172,5773,0.2604,3606,1591,441,64,66,5,12567,7299,1709,254,329,14,2010,0.2869,0.218,0.258,0.252,0.06889999999999999
No/Improper Mud Flap,15722,161,0.0102,78,64,15,0,4,0,7386,5572,1827,102,826,9,2010,0.0106,0.0115,0.0082,0.0,0.0115
No/Improper Tail Lamp - not Motorcycle,19909,131,0.0066,60,55,11,0,5,0,11639,5804,1695,204,549,18,2010,0.0052,0.0095,0.0065,0.0,0.0095
Following Too Closely,28469,763,0.0268,451,217,55,27,11,2,10985,11027,4861,372,1176,48,2010,0.0411,0.0197,0.0113,0.0726,0.0613
Drive On Improved Shoulder When Prohibited,21848,293,0.0134,175,81,24,7,6,0,8520,10739,1753,242,569,25,2010,0.0205,0.0075,0.0137,0.0289,0.0214
Fail To Signal Lane Change,19692,218,0.0111,121,59,26,7,4,1,10043,6304,2167,369,783,26,2010,0.012,0.0094,0.012,0.019,0.0096
